"dataset","method","family","backend","timing_scope","requested_threads","effective_threads","n","p","k","perplexity","input_type","landmark_fraction","n_runs","n_success","status","total_runtime_sec_median","total_runtime_sec_q1","total_runtime_sec_q3","total_runtime_sec_iqr","total_runtime_sec_sd","total_runtime_sec_min","total_runtime_sec_max","preprocess_sec_median","preprocess_sec_q1","preprocess_sec_q3","preprocess_sec_iqr","preprocess_sec_sd","preprocess_sec_min","preprocess_sec_max","knn_sec_median","knn_sec_q1","knn_sec_q3","knn_sec_iqr","knn_sec_sd","knn_sec_min","knn_sec_max","init_sec_median","init_sec_q1","init_sec_q3","init_sec_iqr","init_sec_sd","init_sec_min","init_sec_max","graph_or_affinity_sec_median","graph_or_affinity_sec_q1","graph_or_affinity_sec_q3","graph_or_affinity_sec_iqr","graph_or_affinity_sec_sd","graph_or_affinity_sec_min","graph_or_affinity_sec_max","embedding_sec_median","embedding_sec_q1","embedding_sec_q3","embedding_sec_iqr","embedding_sec_sd","embedding_sec_min","embedding_sec_max","peak_ram_gb_median","peak_ram_gb_q1","peak_ram_gb_q3","peak_ram_gb_iqr","peak_ram_gb_sd","peak_ram_gb_min","peak_ram_gb_max","peak_gpu_mb_median","peak_gpu_mb_q1","peak_gpu_mb_q3","peak_gpu_mb_iqr","peak_gpu_mb_sd","peak_gpu_mb_min","peak_gpu_mb_max","peak_gpu_delta_mb_median","peak_gpu_delta_mb_q1","peak_gpu_delta_mb_q3","peak_gpu_delta_mb_iqr","peak_gpu_delta_mb_sd","peak_gpu_delta_mb_min","peak_gpu_delta_mb_max","trustworthiness_median","trustworthiness_q1","trustworthiness_q3","trustworthiness_iqr","trustworthiness_sd","trustworthiness_min","trustworthiness_max","knn_preservation_15_median","knn_preservation_15_q1","knn_preservation_15_q3","knn_preservation_15_iqr","knn_preservation_15_sd","knn_preservation_15_min","knn_preservation_15_max","knn_preservation_30_median","knn_preservation_30_q1","knn_preservation_30_q3","knn_preservation_30_iqr","knn_preservation_30_sd","knn_preservation_30_min","knn_preservation_30_max","knn_preservation_50_median","knn_preservation_50_q1","knn_preservation_50_q3","knn_preservation_50_iqr","knn_preservation_50_sd","knn_preservation_50_min","knn_preservation_50_max","silhouette_median","silhouette_q1","silhouette_q3","silhouette_iqr","silhouette_sd","silhouette_min","silhouette_max","label_knn_accuracy_median","label_knn_accuracy_q1","label_knn_accuracy_q3","label_knn_accuracy_iqr","label_knn_accuracy_sd","label_knn_accuracy_min","label_knn_accuracy_max","tsne_kl_median","tsne_kl_q1","tsne_kl_q3","tsne_kl_iqr","tsne_kl_sd","tsne_kl_min","tsne_kl_max","n_landmarks_median","n_landmarks_q1","n_landmarks_q3","n_landmarks_iqr","n_landmarks_sd","n_landmarks_min","n_landmarks_max","reference_embedding_sec_median","reference_embedding_sec_q1","reference_embedding_sec_q3","reference_embedding_sec_iqr","reference_embedding_sec_sd","reference_embedding_sec_min","reference_embedding_sec_max","landmark_projection_knn_sec_median","landmark_projection_knn_sec_q1","landmark_projection_knn_sec_q3","landmark_projection_knn_sec_iqr","landmark_projection_knn_sec_sd","landmark_projection_knn_sec_min","landmark_projection_knn_sec_max","landmark_refinement_sec_median","landmark_refinement_sec_q1","landmark_refinement_sec_q3","landmark_refinement_sec_iqr","landmark_refinement_sec_sd","landmark_refinement_sec_min","landmark_refinement_sec_max","landmark_transform_sec_median","landmark_transform_sec_q1","landmark_transform_sec_q3","landmark_transform_sec_iqr","landmark_transform_sec_sd","landmark_transform_sec_min","landmark_transform_sec_max","kodama_core_sec_median","kodama_core_sec_q1","kodama_core_sec_q3","kodama_core_sec_iqr","kodama_core_sec_sd","kodama_core_sec_min","kodama_core_sec_max","kodama_visualization_sec_median","kodama_visualization_sec_q1","kodama_visualization_sec_q3","kodama_visualization_sec_iqr","kodama_visualization_sec_sd","kodama_visualization_sec_min","kodama_visualization_sec_max","kodama_core_peak_ram_gb_median","kodama_core_peak_ram_gb_q1","kodama_core_peak_ram_gb_q3","kodama_core_peak_ram_gb_iqr","kodama_core_peak_ram_gb_sd","kodama_core_peak_ram_gb_min","kodama_core_peak_ram_gb_max","kodama_visualization_peak_ram_gb_median","kodama_visualization_peak_ram_gb_q1","kodama_visualization_peak_ram_gb_q3","kodama_visualization_peak_ram_gb_iqr","kodama_visualization_peak_ram_gb_sd","kodama_visualization_peak_ram_gb_min","kodama_visualization_peak_ram_gb_max","kodama_core_peak_gpu_delta_mb_median","kodama_core_peak_gpu_delta_mb_q1","kodama_core_peak_gpu_delta_mb_q3","kodama_core_peak_gpu_delta_mb_iqr","kodama_core_peak_gpu_delta_mb_sd","kodama_core_peak_gpu_delta_mb_min","kodama_core_peak_gpu_delta_mb_max","kodama_visualization_peak_gpu_delta_mb_median","kodama_visualization_peak_gpu_delta_mb_q1","kodama_visualization_peak_gpu_delta_mb_q3","kodama_visualization_peak_gpu_delta_mb_iqr","kodama_visualization_peak_gpu_delta_mb_sd","kodama_visualization_peak_gpu_delta_mb_min","kodama_visualization_peak_gpu_delta_mb_max","implementation","algorithm"
"COIL20","fastEmbedR_umap_cpu_binary_full","UMAP","cpu","full_pipeline",1,1,1440,16384,30,,"float32",,3,3,"success",9.309,9.2785,9.38,0.1015,0.104158533015784,9.248,9.451,0.004,0.004,0.0045,5e-04,0.000577350269189626,0.004,0.005,5.039,5.0045,5.0525,0.048,0.0495075751779463,4.97,5.066,,,,,,,,,,,,,,,4.165,4.1635,4.199,0.0354999999999999,0.0401538707142078,4.162,4.233,0.394805908203125,0.354400634765625,0.396682739257812,0.0422821044921875,0.0477764584752452,0.313995361328125,0.3985595703125,,,,,,,,,,,,,,,0.877276524644946,0.874834522202943,0.878100700469121,0.00326617826617803,0.00339711271350195,0.872392519760941,0.878924876293297,0.519230769230769,0.518376068376069,0.528418803418804,0.010042735042735,0.0111357386502526,0.517521367521368,0.537606837606838,0.54551282051282,0.533119658119658,0.557264957264957,0.0241452991452991,0.0241481353753617,0.520726495726496,0.569017094017094,0.595384615384615,0.592692307692307,0.603782051282051,0.0110897435897436,0.0115685741918314,0.59,0.612179487179487,0.432755680984077,0.422226230511046,0.453226723436721,0.0310004929256745,0.0315273792969089,0.411696780038015,0.473697765889364,0.538461538461538,0.525641025641026,0.567307692307692,0.0416666666666665,0.042681590503073,0.512820512820513,0.596153846153846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CPU (1t)","UMAP binary"
"COIL20","fastEmbedR_umap_cpu_binary_full","UMAP","cpu","full_pipeline",4,4,1440,16384,30,,"float32",,3,3,"success",2.659,2.641,2.744,0.103,0.11002423975349,2.623,2.829,0.004,0.004,0.0045,5e-04,0.000577350269189626,0.004,0.005,2.215,2.2135,2.3125,0.0990000000000002,0.113459243783836,2.212,2.41,,,,,,,,,,,,,,,0.311,0.308,0.3265,0.0185,0.0198578280114753,0.305,0.342,0.37347412109375,0.347175598144531,0.388671875,0.0414962768554688,0.0419882922251051,0.320877075195312,0.40386962890625,,,,,,,,,,,,,,,0.805195681511471,0.794396247027826,0.80592346250241,0.011527215474584,0.0129108261273192,0.783596812544181,0.806651243493349,0.435042735042735,0.433760683760683,0.439957264957265,0.00619658119658151,0.00654185897618548,0.432478632478632,0.444871794871795,0.429700854700855,0.42809829059829,0.432264957264958,0.00416666666666698,0.00420348623352723,0.426495726495726,0.43482905982906,0.438461538461538,0.432115384615385,0.441602564102564,0.00948717948717953,0.0096659638367001,0.425769230769231,0.44474358974359,0.230695905499669,0.211385618849389,0.247129013719931,0.035743394870542,0.0357819739828713,0.192075332199109,0.263562121940193,0.384615384615385,0.346153846153846,0.461538461538462,0.115384615384615,0.117501940896303,0.307692307692308,0.538461538461538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CPU (4t)","UMAP binary"
"COIL20","fastEmbedR_umap_cpu_fuzzy_full","UMAP","cpu","full_pipeline",1,1,1440,16384,30,,"float32",,3,3,"success",5.792,5.77,5.8085,0.0385000000000009,0.0386307304271267,5.748,5.825,0.005,0.0045,0.005,5e-04,0.000577350269189626,0.004,0.005,4.845,4.84,4.868,0.0280000000000005,0.0298663690461362,4.835,4.891,,,,,,,,,,,,,,,0.826,0.82,0.8355,0.0155,0.0156311654502578,0.814,0.845,0.385421752929688,0.345947265625,0.398574829101562,0.0526275634765625,0.0547777266062932,0.306472778320312,0.411727905273438,,,,,,,,,,,,,,,0.863733050575156,0.851924683503631,0.865538847117794,0.0136141636141635,0.0147883712189115,0.840116316432106,0.867344643660433,0.517521367521368,0.503418803418804,0.520512820512821,0.0170940170940175,0.0182580854359117,0.489316239316239,0.523504273504274,0.489529914529915,0.480662393162394,0.495726495726496,0.0150641025641025,0.015142825359249,0.471794871794872,0.501923076923077,0.507820512820513,0.503205128205129,0.525705128205128,0.0225,0.0237684839315083,0.498589743589744,0.543589743589744,0.534642109287752,0.528717950092293,0.544269173607368,0.0155512235150755,0.015697485624626,0.522793790896834,0.553896237926985,0.615384615384615,0.599358974358974,0.615384615384615,0.016025641025641,0.0185048163201802,0.583333333333333,0.615384615384615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CPU (1t)","UMAP fuzzy"
"COIL20","fastEmbedR_umap_cpu_fuzzy_full","UMAP","cpu","full_pipeline",4,4,1440,16384,30,,"float32",,3,3,"success",2.401,2.3935,2.4115,0.0180000000000002,0.0180831413200252,2.386,2.422,0.005,0.005,0.005,0,0,0.005,0.005,2.156,2.151,2.169,0.0180000000000002,0.0185831464863551,2.146,2.182,,,,,,,,,,,,,,,0.136,0.1355,0.136,5e-04,0.000577350269189626,0.135,0.136,0.356033325195312,0.350677490234375,0.381332397460938,0.0306549072265625,0.0327460059925814,0.345321655273438,0.406631469726562,,,,,,,,,,,,,,,0.849167791273054,0.843053145684725,0.854710494184178,0.0116573484994534,0.0116620244174434,0.836938500096395,0.860253197095302,0.502564102564103,0.494017094017094,0.519444444444444,0.0254273504273504,0.0258785296704319,0.485470085470085,0.536324786324786,0.469444444444444,0.464209401709402,0.480235042735042,0.016025641025641,0.0163434768677393,0.458974358974359,0.491025641025641,0.522820512820513,0.509038461538462,0.532115384615385,0.023076923076923,0.0232218856243044,0.49525641025641,0.541410256410256,0.530055646817343,0.529561913101875,0.541702585609245,0.0121406725073701,0.0137426558601388,0.529068179386407,0.553349524401147,0.628205128205128,0.583333333333333,0.647435897435897,0.0641025641025644,0.0657897620441912,0.538461538461538,0.666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CPU (4t)","UMAP fuzzy"
"COIL20","fastEmbedR_opentsne_cpu_full","t-SNE","cpu","full_pipeline",1,1,1440,16384,,30,"float32",,3,3,"success",8.23,8.1625,8.266,0.103499999999999,0.105085679328821,8.095,8.302,0.005,0.0045,0.005,5e-04,0.000577350269189626,0.004,0.005,4.964,4.9225,4.99,0.0674999999999999,0.0680906258844294,4.881,5.016,,,,,,,,,,,,,,,2.068,2.057,2.0705,0.0135000000000001,0.0143643076176103,2.046,2.073,0.811279296875,0.777961730957031,0.825164794921875,0.0472030639648438,0.0485180138531185,0.744644165039062,0.83905029296875,,,,,,,,,,,,,,,0.900485187327293,0.896320930531457,0.910579332947754,0.0142584024162971,0.0146636705257995,0.892156673735621,0.920673478568215,0.524786324786325,0.523504273504274,0.543162393162393,0.0196581196581199,0.0219964423327155,0.522222222222222,0.561538461538462,0.571367521367521,0.571047008547009,0.590384615384616,0.019337606837607,0.0221464162868998,0.570726495726496,0.60940170940171,0.672179487179487,0.663653846153846,0.674487179487179,0.0108333333333335,0.0114126570028248,0.655128205128205,0.676794871794872,0.44998715967165,0.44914520612084,0.451282277244581,0.00213707112374095,0.00215302706243472,0.448303252570031,0.452577394817513,0.576923076923077,0.57051282051282,0.599358974358974,0.028846153846154,0.0302936899118759,0.564102564102564,0.621794871794872,0.723996679788648,0.723884708327849,0.724097979800186,0.000213271472337517,0.000213360448200049,0.723772736867049,0.724199279811724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CPU (1t)","openTSNE"
"COIL20","fastEmbedR_opentsne_cpu_full","t-SNE","cpu","full_pipeline",4,4,1440,16384,,30,"float32",,3,3,"success",4.126,4.0765,4.2135,0.137,0.138745570499866,4.027,4.301,0.004,0.004,0.0045,5e-04,0.000577350269189626,0.004,0.005,2.167,2.1615,2.3385,0.177,0.201281726277706,2.156,2.51,,,,,,,,,,,,,,,0.772,0.7385,0.818,0.0795000000000001,0.0798268960522288,0.705,0.864,0.809829711914062,0.7891845703125,0.819488525390625,0.030303955078125,0.0309606658294102,0.768539428710938,0.829147338867188,,,,,,,,,,,,,,,0.902554463080779,0.898335582546109,0.910778548936444,0.0124429663903349,0.0126560118446577,0.894116702011439,0.919002634792109,0.526923076923077,0.52457264957265,0.53931623931624,0.01474358974359,0.0158427359034611,0.522222222222222,0.551709401709402,0.57008547008547,0.568910256410256,0.586111111111111,0.0172008547008545,0.0192192906547046,0.567735042735043,0.602136752136752,0.670641025641026,0.66275641025641,0.670641025641026,0.00788461538461549,0.00910436962952884,0.654871794871795,0.670641025641026,0.453690524231772,0.452969583710073,0.454011634304562,0.00104205059448947,0.00106731324866104,0.452248643188374,0.454332744377353,0.57051282051282,0.551282051282051,0.596153846153846,0.0448717948717949,0.0450241613369777,0.532051282051282,0.621794871794872,0.722851250400052,0.721398038493766,0.724110249134481,0.00271221064071503,0.00271452748711725,0.71994482658748,0.72536924786891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CPU (4t)","openTSNE"
"FashionMNIST","fastEmbedR_umap_cpu_binary_full","UMAP","cpu","full_pipeline",1,1,70000,784,30,,"float32",,3,3,"success",129.473,129.0565,129.68,0.623500000000007,0.635123872432256,128.64,129.887,0.00900000000000001,0.00850000000000001,0.0095,0.000999999999999994,0.000999999999999995,0.00800000000000001,0.01,27.72,27.6825,28.2345,0.552,0.61688491633367,27.645,28.749,,,,,,,,,,,,,,,100.799,100.6995,101.4565,0.757000000000005,0.822701039260316,100.6,102.114,0.518463134765625,0.517921447753906,0.518745422363281,0.000823974609375,0.000837474482536636,0.517379760742188,0.519027709960938,,,,,,,,,,,,,,,0.96705812088463,0.966588700120666,0.969735535313981,0.00314683519331493,0.00339523937438128,0.966119279356702,0.972412949743332,0.514472455648926,0.514239028944911,0.521942110177404,0.00770308123249297,0.00876309257721823,0.514005602240896,0.529411764705882,0.587955182072829,0.584337068160597,0.589729225023343,0.00539215686274508,0.00549626129319427,0.580718954248366,0.591503267973856,0.607703081232493,0.60624649859944,0.609551820728292,0.00330532212885148,0.00331306756805151,0.604789915966387,0.61140056022409,0.227523671318539,0.20842475902433,0.230569849913382,0.022145090889052,0.0240062867507373,0.189325846730121,0.233616028508225,0.725490196078431,0.721288515406163,0.726890756302521,0.00560224089635852,0.00583099719738398,0.717086834733894,0.728291316526611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CPU (1t)","UMAP binary"
"FashionMNIST","fastEmbedR_umap_cpu_binary_full","UMAP","cpu","full_pipeline",4,4,70000,784,30,,"float32",,3,3,"success",44.222,43.464,44.2995,0.835500000000003,0.923266122704246,42.706,44.377,0.00900000000000001,0.00850000000000001,0.0095,0.000999999999999994,0.000999999999999995,0.00800000000000001,0.01,17.349,17.32,18.2175,0.897500000000001,1.02001290841505,17.291,19.086,,,,,,,,,,,,,,,25.295,25.233,26.025,0.791999999999998,0.880911648994002,25.171,26.755,0.519607543945312,0.517906188964844,0.540763854980469,0.022857666015625,0.0254683725571894,0.516204833984375,0.561920166015625,,,,,,,,,,,,,,,0.96740093046384,0.966843746664126,0.970215765997668,0.00337201933354114,0.00361517793521846,0.966286562864413,0.973030601531495,0.51437908496732,0.514239028944911,0.52376283846872,0.00952380952380949,0.0109171850251569,0.514098972922502,0.533146591970121,0.590102707749767,0.585737628384688,0.590756302521009,0.00501867413632096,0.00545699514843194,0.581372549019608,0.59140989729225,0.607759103641457,0.606428571428572,0.609733893557423,0.00330532212885148,0.00332618555878479,0.605098039215686,0.611708683473389,0.231149766624909,0.210382203915777,0.231814566113502,0.0214323621977255,0.024373206171426,0.189614641206645,0.232479365602096,0.724089635854342,0.719887955182073,0.728291316526611,0.0084033613445379,0.00840336134453795,0.715686274509804,0.73249299719888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CPU (4t)","UMAP binary"
"FashionMNIST","fastEmbedR_umap_cpu_fuzzy_full","UMAP","cpu","full_pipeline",1,1,70000,784,30,,"float32",,3,3,"success",47.163,47.146,47.7985,0.652499999999996,0.743821439146072,47.129,48.434,0.00900000000000001,0.00850000000000001,0.0095,0.000999999999999994,0.000999999999999995,0.00800000000000001,0.01,27.655,27.576,28.3075,0.7315,0.802948524709607,27.497,28.96,,,,,,,,,,,,,,,19.395,19.3735,19.4525,0.0790000000000006,0.0816884324736381,19.352,19.51,0.5751953125,0.561256408691406,0.577537536621094,0.0162811279296875,0.017604055969795,0.547317504882812,0.579879760742188,,,,,,,,,,,,,,,0.963412745706097,0.961857738753968,0.965742418530364,0.00388467977639695,0.00391034176293662,0.960302731801838,0.968072091354632,0.508870214752568,0.501914098972922,0.51451914098973,0.012605042016807,0.0126276152042048,0.494957983193277,0.520168067226891,0.572875816993464,0.569281045751634,0.574463118580765,0.00518207282913152,0.00531010266169185,0.565686274509804,0.576050420168067,0.588543417366947,0.583025210084034,0.596358543417367,0.0133333333333335,0.0133991189904146,0.57750700280112,0.604173669467787,0.173450117743553,0.138917777845147,0.202143349391606,0.063225571546459,0.0633153848531002,0.104385437946741,0.230836581039659,0.718487394957983,0.717787114845938,0.728991596638656,0.011204481792717,0.0125530622406618,0.717086834733894,0.739495798319328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CPU (1t)","UMAP fuzzy"
"FashionMNIST","fastEmbedR_umap_cpu_fuzzy_full","UMAP","cpu","full_pipeline",4,4,70000,784,30,,"float32",,3,3,"success",22.704,22.633,22.8925,0.259499999999996,0.268220680286463,22.562,23.081,0.01,0.0095,0.01,0.000499999999999995,0.00057735026918962,0.00900000000000001,0.01,17.463,17.2775,17.6385,0.361000000000001,0.361046165099886,17.092,17.814,,,,,,,,,,,,,,,5.149,5.0605,5.3225,0.262,0.266556435550398,4.972,5.496,0.572052001953125,0.549972534179688,0.587173461914062,0.037200927734375,0.0374172016841336,0.52789306640625,0.602294921875,,,,,,,,,,,,,,,0.966028611155026,0.961618028784114,0.967254388489597,0.00563635970548393,0.00592870517927577,0.957207446413201,0.968480165824169,0.517086834733894,0.505228758169935,0.517880485527545,0.0126517273576094,0.0141729805500998,0.493370681605976,0.518674136321195,0.57516339869281,0.57016806722689,0.575303454715219,0.00513538748832842,0.00585064992395995,0.565172735760971,0.575443510737628,0.592100840336134,0.584957983193277,0.596148459383753,0.0111904761904765,0.0113322661895886,0.57781512605042,0.600196078431373,0.17043485245941,0.12465604372828,0.200887067772665,0.076231024044385,0.0767428857644444,0.078877234997149,0.231339283085919,0.724089635854342,0.719887955182073,0.733193277310925,0.0133053221288515,0.013602989994709,0.715686274509804,0.742296918767507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CPU (4t)","UMAP fuzzy"
"FashionMNIST","fastEmbedR_umap_metal_binary_full","UMAP","metal","full_pipeline",4,,70000,784,30,,"float32",,3,3,"success",20.293,20.2265,20.406,0.179499999999997,0.181496556441161,20.16,20.519,0.00800000000000001,0.00750000000000001,0.00850000000000001,0.001,0.001,0.00700000000000001,0.00900000000000001,17.425,17.413,17.6065,0.1935,0.216838649691424,17.401,17.788,,,,,,,,,,,,,,,2.642,2.63,2.6975,0.0674999999999999,0.0720208303201235,2.618,2.753,0.733993530273438,0.732162475585938,0.75286865234375,0.0207061767578125,0.0229255134491915,0.730331420898438,0.771743774414062,,,,,,,,,,,,,,,0.967770899966354,0.966972452270827,0.970424802820308,0.00345235054948145,0.00361473312958911,0.966174004575299,0.973078705674262,0.519140989729225,0.515826330532213,0.526143790849673,0.0103174603174599,0.010534899984567,0.512511671335201,0.533146591970121,0.586181139122316,0.585107376283847,0.589098972922502,0.00399159663865545,0.00413114709207292,0.584033613445378,0.592016806722689,0.605378151260504,0.60329131652661,0.609649859943977,0.00635854341736697,0.00648246088424182,0.601204481792717,0.613921568627451,0.22107915139986,0.209869532148011,0.229875142174005,0.020005610025994,0.0200540843717254,0.198659912896161,0.238671132948149,0.7296918767507,0.723389355742297,0.73249299719888,0.00910364145658249,0.00932538952167961,0.717086834733894,0.735294117647059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Metal","UMAP binary"
"FashionMNIST","fastEmbedR_umap_metal_fuzzy_full","UMAP","metal","full_pipeline",4,,70000,784,30,,"float32",,3,3,"success",19.09,18.9825,19.1745,0.192,0.192458653568327,18.875,19.259,0.00900000000000001,0.00800000000000001,0.01,0.00199999999999999,0.00199999999999999,0.00700000000000001,0.011,17.534,17.4175,17.661,0.243500000000004,0.243575450322894,17.301,17.788,,,,,,,,,,,,,,,1.436,1.395,1.4415,0.0465,0.05081666393353,1.354,1.447,0.717880249023438,0.700775146484375,0.735816955566406,0.0350418090820312,0.0350450981662386,0.683670043945312,0.753753662109375,,,,,,,,,,,,,,,0.96570904290322,0.963562598218255,0.967028528729388,0.00346593051113353,0.00349866088087809,0.96141615353329,0.968348014555557,0.514005602240896,0.505929038281979,0.514705882352941,0.00877684407096158,0.00975548630135088,0.497852474323063,0.515406162464986,0.574649859943978,0.570191409897292,0.576353874883287,0.0061624649859946,0.00636434958372475,0.565732959850607,0.578057889822596,0.59078431372549,0.585280112044818,0.597801120448179,0.012521008403361,0.0125514265898907,0.579775910364146,0.604817927170868,0.181314775049458,0.142846325359268,0.207403559832942,0.0645572344736745,0.0649516888973882,0.104377875669077,0.233492344616426,0.717086834733894,0.71498599439776,0.729691876750701,0.0147058823529411,0.0159073062907569,0.712885154061625,0.742296918767507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Metal","UMAP fuzzy"
"FashionMNIST","fastEmbedR_opentsne_cpu_full","t-SNE","cpu","full_pipeline",1,1,70000,784,,30,"float32",,3,3,"success",90.832,90.822,90.8325,0.0104999999999933,0.0118462370959438,90.812,90.833,0.00900000000000001,0.00900000000000001,0.0100000000000001,0.00100000000000004,0.0011547005383793,0.00900000000000001,0.0110000000000001,29.516,29.061,29.6025,0.541499999999999,0.581795783186276,28.606,29.689,,,,,,,,,,,,,,,59.247,59.186,59.459,0.273000000000003,0.286582158086182,59.125,59.671,1.2099609375,1.07022857666016,1.28170013427734,0.211471557617188,0.215084269843511,0.930496215820312,1.35343933105469,,,,,,,,,,,,,,,0.96244850086682,0.961244951429679,0.964792294148725,0.00354734271904644,0.00360791154384545,0.960041401992538,0.967136087430631,0.498225957049486,0.496358543417367,0.509290382819795,0.012931839402428,0.0139795379425378,0.494491129785247,0.520354808590103,0.555135387488329,0.549976657329599,0.557563025210084,0.0075863678804855,0.0077485009034757,0.544817927170868,0.559990662931839,0.575042016806723,0.573935574229692,0.57795518207283,0.00401960784313748,0.00415274963179247,0.572829131652661,0.580868347338936,0.121777868104207,0.11216562191847,0.129499116290314,0.017333494371845,0.0173678434167952,0.102553375732732,0.137220364476422,0.728291316526611,0.719887955182073,0.735294117647059,0.015406162464986,0.015427368479793,0.711484593837535,0.742296918767507,1.84331794239551,1.84272260084609,1.84366572663197,0.000943125785889842,0.000953894362989879,1.84212725929666,1.84401351086844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CPU (1t)","openTSNE"
"FashionMNIST","fastEmbedR_opentsne_cpu_full","t-SNE","cpu","full_pipeline",4,4,70000,784,,30,"float32",,3,3,"success",38.281,37.867,42.434,4.56699999999999,5.05148783363212,37.453,46.587,0.011,0.0105,0.0325,0.022,0.0251197133741609,0.01,0.0539999999999999,17.123,17.107,18.857,1.75,2.01155197132297,17.091,20.591,,,,,,,,,,,,,,,18.971,18.8925,21.2205,2.328,2.64398644726733,18.814,23.47,1.25213623046875,1.17535400390625,1.33943939208984,0.164085388183594,0.164197781065589,1.09857177734375,1.42674255371094,,,,,,,,,,,,,,,0.96244850086682,0.961244951429679,0.964792294148725,0.00354734271904644,0.00360791154384545,0.960041401992538,0.967136087430631,0.498225957049486,0.496358543417367,0.509290382819795,0.012931839402428,0.0139795379425378,0.494491129785247,0.520354808590103,0.555135387488329,0.549976657329599,0.557563025210084,0.0075863678804855,0.0077485009034757,0.544817927170868,0.559990662931839,0.575042016806723,0.573935574229692,0.57795518207283,0.00401960784313748,0.00415274963179247,0.572829131652661,0.580868347338936,0.121777868104207,0.11216562191847,0.129499116290314,0.017333494371845,0.0173678434167952,0.102553375732732,0.137220364476422,0.728291316526611,0.719887955182073,0.735294117647059,0.015406162464986,0.015427368479793,0.711484593837535,0.742296918767507,1.84331794239551,1.84272260084609,1.84366572663197,0.000943125785889842,0.000953894362989879,1.84212725929666,1.84401351086844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CPU (4t)","openTSNE"
