"dataset","method","family","backend","timing_scope","requested_threads","effective_threads","n","p","k","perplexity","input_type","landmark_fraction","n_runs","n_success","status","total_runtime_sec_median","total_runtime_sec_q1","total_runtime_sec_q3","total_runtime_sec_iqr","total_runtime_sec_sd","total_runtime_sec_min","total_runtime_sec_max","preprocess_sec_median","preprocess_sec_q1","preprocess_sec_q3","preprocess_sec_iqr","preprocess_sec_sd","preprocess_sec_min","preprocess_sec_max","knn_sec_median","knn_sec_q1","knn_sec_q3","knn_sec_iqr","knn_sec_sd","knn_sec_min","knn_sec_max","init_sec_median","init_sec_q1","init_sec_q3","init_sec_iqr","init_sec_sd","init_sec_min","init_sec_max","graph_or_affinity_sec_median","graph_or_affinity_sec_q1","graph_or_affinity_sec_q3","graph_or_affinity_sec_iqr","graph_or_affinity_sec_sd","graph_or_affinity_sec_min","graph_or_affinity_sec_max","embedding_sec_median","embedding_sec_q1","embedding_sec_q3","embedding_sec_iqr","embedding_sec_sd","embedding_sec_min","embedding_sec_max","peak_ram_gb_median","peak_ram_gb_q1","peak_ram_gb_q3","peak_ram_gb_iqr","peak_ram_gb_sd","peak_ram_gb_min","peak_ram_gb_max","peak_gpu_mb_median","peak_gpu_mb_q1","peak_gpu_mb_q3","peak_gpu_mb_iqr","peak_gpu_mb_sd","peak_gpu_mb_min","peak_gpu_mb_max","peak_gpu_delta_mb_median","peak_gpu_delta_mb_q1","peak_gpu_delta_mb_q3","peak_gpu_delta_mb_iqr","peak_gpu_delta_mb_sd","peak_gpu_delta_mb_min","peak_gpu_delta_mb_max","trustworthiness_median","trustworthiness_q1","trustworthiness_q3","trustworthiness_iqr","trustworthiness_sd","trustworthiness_min","trustworthiness_max","knn_preservation_15_median","knn_preservation_15_q1","knn_preservation_15_q3","knn_preservation_15_iqr","knn_preservation_15_sd","knn_preservation_15_min","knn_preservation_15_max","knn_preservation_30_median","knn_preservation_30_q1","knn_preservation_30_q3","knn_preservation_30_iqr","knn_preservation_30_sd","knn_preservation_30_min","knn_preservation_30_max","knn_preservation_50_median","knn_preservation_50_q1","knn_preservation_50_q3","knn_preservation_50_iqr","knn_preservation_50_sd","knn_preservation_50_min","knn_preservation_50_max","silhouette_median","silhouette_q1","silhouette_q3","silhouette_iqr","silhouette_sd","silhouette_min","silhouette_max","label_knn_accuracy_median","label_knn_accuracy_q1","label_knn_accuracy_q3","label_knn_accuracy_iqr","label_knn_accuracy_sd","label_knn_accuracy_min","label_knn_accuracy_max","tsne_kl_median","tsne_kl_q1","tsne_kl_q3","tsne_kl_iqr","tsne_kl_sd","tsne_kl_min","tsne_kl_max","n_landmarks_median","n_landmarks_q1","n_landmarks_q3","n_landmarks_iqr","n_landmarks_sd","n_landmarks_min","n_landmarks_max","reference_embedding_sec_median","reference_embedding_sec_q1","reference_embedding_sec_q3","reference_embedding_sec_iqr","reference_embedding_sec_sd","reference_embedding_sec_min","reference_embedding_sec_max","landmark_projection_knn_sec_median","landmark_projection_knn_sec_q1","landmark_projection_knn_sec_q3","landmark_projection_knn_sec_iqr","landmark_projection_knn_sec_sd","landmark_projection_knn_sec_min","landmark_projection_knn_sec_max","landmark_refinement_sec_median","landmark_refinement_sec_q1","landmark_refinement_sec_q3","landmark_refinement_sec_iqr","landmark_refinement_sec_sd","landmark_refinement_sec_min","landmark_refinement_sec_max","landmark_transform_sec_median","landmark_transform_sec_q1","landmark_transform_sec_q3","landmark_transform_sec_iqr","landmark_transform_sec_sd","landmark_transform_sec_min","landmark_transform_sec_max","kodama_core_sec_median","kodama_core_sec_q1","kodama_core_sec_q3","kodama_core_sec_iqr","kodama_core_sec_sd","kodama_core_sec_min","kodama_core_sec_max","kodama_visualization_sec_median","kodama_visualization_sec_q1","kodama_visualization_sec_q3","kodama_visualization_sec_iqr","kodama_visualization_sec_sd","kodama_visualization_sec_min","kodama_visualization_sec_max","kodama_core_peak_ram_gb_median","kodama_core_peak_ram_gb_q1","kodama_core_peak_ram_gb_q3","kodama_core_peak_ram_gb_iqr","kodama_core_peak_ram_gb_sd","kodama_core_peak_ram_gb_min","kodama_core_peak_ram_gb_max","kodama_visualization_peak_ram_gb_median","kodama_visualization_peak_ram_gb_q1","kodama_visualization_peak_ram_gb_q3","kodama_visualization_peak_ram_gb_iqr","kodama_visualization_peak_ram_gb_sd","kodama_visualization_peak_ram_gb_min","kodama_visualization_peak_ram_gb_max","kodama_core_peak_gpu_delta_mb_median","kodama_core_peak_gpu_delta_mb_q1","kodama_core_peak_gpu_delta_mb_q3","kodama_core_peak_gpu_delta_mb_iqr","kodama_core_peak_gpu_delta_mb_sd","kodama_core_peak_gpu_delta_mb_min","kodama_core_peak_gpu_delta_mb_max","kodama_visualization_peak_gpu_delta_mb_median","kodama_visualization_peak_gpu_delta_mb_q1","kodama_visualization_peak_gpu_delta_mb_q3","kodama_visualization_peak_gpu_delta_mb_iqr","kodama_visualization_peak_gpu_delta_mb_sd","kodama_visualization_peak_gpu_delta_mb_min","kodama_visualization_peak_gpu_delta_mb_max","implementation"
"COIL20","fastEmbedR_pca_cpu","PCA","cpu","pca_only",1,1,1440,16384,,,"float32",,3,3,"success",0.994,0.9315,1.0005,0.069,0.0761993000842746,0.869,1.007,,,,,,,,,,,,,,,0.994,0.9315,1.0005,0.069,0.0761993000842746,0.869,1.007,,,,,,,,,,,,,,,0.777191162109375,0.775848388671875,0.78485107421875,0.009002685546875,0.00971341481607498,0.774505615234375,0.792510986328125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CPU (1t)"
"COIL20","fastEmbedR_pca_cpu","PCA","cpu","pca_only",4,4,1440,16384,,,"float32",,3,3,"success",0.894,0.881,0.972,0.091,0.0984344113272048,0.868,1.05,,,,,,,,,,,,,,,0.894,0.881,0.972,0.091,0.0984344113272048,0.868,1.05,,,,,,,,,,,,,,,0.771377563476562,0.752700805664062,0.778938293457031,0.0262374877929688,0.0270110062247537,0.734024047851562,0.7864990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CPU (4t)"
"COIL20","fastEmbedR_pca_metal","PCA","metal","pca_only",4,,1440,16384,,,"float32",,3,3,"success",0.146,0.1435,0.174,0.0305,0.0338673884437522,0.141,0.202,,,,,,,,,,,,,,,0.146,0.1435,0.174,0.0305,0.0338673884437522,0.141,0.202,,,,,,,,,,,,,,,0.283096313476562,0.282051086425781,0.285446166992188,0.00339508056640625,0.00347763168310173,0.281005859375,0.287796020507812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Metal"
"COIL20","irlba_pca","PCA","cpu","pca_only",1,1,1440,16384,,,"standard_R_double",,3,3,"success",1.082,1.0765,1.109,0.0325,0.0347898452617043,1.071,1.136,,,,,,,,,,,,,,,1.082,1.0765,1.109,0.0325,0.0347898452617043,1.071,1.136,,,,,,,,,,,,,,,0.5499267578125,0.546646118164062,0.606559753417969,0.0599136352539062,0.0673681550738926,0.543365478515625,0.663192749023438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"irlba (1t)"
"COIL20","irlba_pca","PCA","cpu","pca_only",4,4,1440,16384,,,"standard_R_double",,3,3,"success",1.058,1.0505,1.1175,0.0670000000000002,0.0734188894858356,1.043,1.177,,,,,,,,,,,,,,,1.058,1.0505,1.1175,0.0670000000000002,0.0734188894858356,1.043,1.177,,,,,,,,,,,,,,,0.671249389648438,0.600563049316406,0.677268981933594,0.0767059326171875,0.0853096098513634,0.529876708984375,0.68328857421875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"irlba (4t)"
"FashionMNIST","fastEmbedR_pca_cpu","PCA","cpu","pca_only",1,1,70000,784,,,"float32",,3,3,"success",1.759,1.693,1.7955,0.1025,0.103905405698324,1.627,1.832,,,,,,,,,,,,,,,1.759,1.693,1.7955,0.1025,0.103905405698324,1.627,1.832,,,,,,,,,,,,,,,1.22505187988281,1.19644165039062,1.24632263183594,0.0498809814453125,0.0500606460884836,1.16783142089844,1.26759338378906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CPU (1t)"
"FashionMNIST","fastEmbedR_pca_cpu","PCA","cpu","pca_only",4,4,70000,784,,,"float32",,3,3,"success",2.226,1.9975,2.24,0.2425,0.272292122544887,1.769,2.254,,,,,,,,,,,,,,,2.226,1.9975,2.24,0.2425,0.272292122544887,1.769,2.254,,,,,,,,,,,,,,,1.11344909667969,1.05147552490234,1.14581298828125,0.0943374633789062,0.0958738826973775,0.989501953125,1.17817687988281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CPU (4t)"
"FashionMNIST","fastEmbedR_pca_metal","PCA","metal","pca_only",4,,70000,784,,,"float32",,3,3,"success",0.19,0.189,0.233,0.044,0.0502394267483219,0.188,0.276,,,,,,,,,,,,,,,0.19,0.189,0.233,0.044,0.0502394267483219,0.188,0.276,,,,,,,,,,,,,,,0.522918701171875,0.522079467773438,0.52337646484375,0.0012969970703125,0.00131556367557552,0.521240234375,0.523834228515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Metal"
"FashionMNIST","irlba_pca","PCA","cpu","pca_only",1,1,70000,784,,,"standard_R_double",,3,3,"success",2.091,2.0855,2.119,0.0334999999999996,0.0359304884464432,2.08,2.147,,,,,,,,,,,,,,,2.091,2.0855,2.119,0.0334999999999996,0.0359304884464432,2.08,2.147,,,,,,,,,,,,,,,0.948074340820312,0.942863464355469,0.963447570800781,0.0205841064453125,0.0214039695962564,0.937652587890625,0.97882080078125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"irlba (1t)"
"FashionMNIST","irlba_pca","PCA","cpu","pca_only",4,4,70000,784,,,"standard_R_double",,3,3,"success",2.107,2.097,2.1275,0.0305,0.0310966236109324,2.087,2.148,,,,,,,,,,,,,,,2.107,2.097,2.1275,0.0305,0.0310966236109324,2.087,2.148,,,,,,,,,,,,,,,0.900772094726562,0.858139038085938,0.932136535644531,0.0739974975585938,0.0742829514651178,0.815505981445312,0.9635009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"irlba (4t)"
"MNIST","fastEmbedR_pca_cpu","PCA","cpu","pca_only",1,1,70000,784,,,"float32",,3,3,"success",1.781,1.7415,1.8525,0.111,0.112527033788923,1.702,1.924,,,,,,,,,,,,,,,1.781,1.7415,1.8525,0.111,0.112527033788923,1.702,1.924,,,,,,,,,,,,,,,1.31315612792969,1.24578094482422,1.34099578857422,0.09521484375,0.0979126429481403,1.17840576171875,1.36883544921875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CPU (1t)"
"MNIST","fastEmbedR_pca_cpu","PCA","cpu","pca_only",4,4,70000,784,,,"float32",,3,3,"success",1.699,1.6675,1.715,0.0475000000000001,0.0483356321292413,1.636,1.731,,,,,,,,,,,,,,,1.699,1.6675,1.715,0.0475000000000001,0.0483356321292413,1.636,1.731,,,,,,,,,,,,,,,1.27590942382812,1.25448608398438,1.27693176269531,0.0224456787109375,0.0253484142780149,1.23306274414062,1.2779541015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CPU (4t)"
"MNIST","fastEmbedR_pca_metal","PCA","metal","pca_only",4,,70000,784,,,"float32",,3,3,"success",0.274,0.2545,0.3455,0.091,0.0958244923458159,0.235,0.417,,,,,,,,,,,,,,,0.274,0.2545,0.3455,0.091,0.0958244923458159,0.235,0.417,,,,,,,,,,,,,,,0.49462890625,0.487709045410156,0.506416320800781,0.018707275390625,0.0189171838703238,0.480789184570312,0.518203735351562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Metal"
"MNIST","irlba_pca","PCA","cpu","pca_only",1,1,70000,784,,,"standard_R_double",,3,3,"success",2.548,2.2955,2.5825,0.287,0.313385279381999,2.043,2.617,,,,,,,,,,,,,,,2.548,2.2955,2.5825,0.287,0.313385279381999,2.043,2.617,,,,,,,,,,,,,,,1.14593505859375,1.10240936279297,1.15758514404297,0.05517578125,0.0581640067536851,1.05888366699219,1.16923522949219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"irlba (1t)"
